1.348E+00	9.199E-01	1.202E-01	6.496E+00	-4.218E+01	1.561E+00
1.333E+00	9.299E-01	1.224E-01	6.573E+00	-4.318E+01	1.608E+00
1.319E+00	9.399E-01	1.245E-01	6.649E+00	-4.420E+01	1.656E+00
1.305E+00	9.499E-01	1.268E-01	6.726E+00	-4.522E+01	1.705E+00
1.292E+00	9.599E-01	1.290E-01	6.802E+00	-4.625E+01	1.755E+00
1.278E+00	9.698E-01	1.313E-01	6.879E+00	-4.730E+01	1.806E+00
1.265E+00	9.799E-01	1.336E-01	6.955E+00	-4.835E+01	1.858E+00
1.253E+00	9.899E-01	1.359E-01	7.031E+00	-4.942E+01	1.912E+00
1.240E+00	9.999E-01	1.383E-01	7.108E+00	-5.050E+01	1.966E+00
1.228E+00	1.010E+00	1.407E-01	7.184E+00	-5.158E+01	2.021E+00
1.216E+00	1.020E+00	1.431E-01	7.260E+00	-5.268E+01	2.078E+00
1.204E+00	1.030E+00	1.456E-01	7.336E+00	-5.379E+01	2.136E+00
1.192E+00	1.040E+00	1.481E-01	7.412E+00	-5.491E+01	2.195E+00
1.181E+00	1.050E+00	1.506E-01	7.488E+00	-5.604E+01	2.255E+00
1.170E+00	1.060E+00	1.531E-01	7.564E+00	-5.718E+01	2.316E+00
1.159E+00	1.070E+00	1.557E-01	7.639E+00	-5.833E+01	2.379E+00
1.148E+00	1.080E+00	1.583E-01	7.715E+00	-5.950E+01	2.443E+00
1.138E+00	1.090E+00	1.609E-01	7.791E+00	-6.067E+01	2.508E+00
1.127E+00	1.100E+00	1.636E-01	7.866E+00	-6.185E+01	2.574E+00
1.117E+00	1.110E+00	1.663E-01	7.942E+00	-6.305E+01	2.641E+00
1.107E+00	1.120E+00	1.690E-01	8.018E+00	-6.425E+01	2.710E+00
1.097E+00	1.130E+00	1.718E-01	8.093E+00	-6.547E+01	2.780E+00
1.088E+00	1.140E+00	1.745E-01	8.169E+00	-6.670E+01	2.851E+00
1.078E+00	1.150E+00	1.773E-01	8.244E+00	-6.793E+01	2.924E+00
1.069E+00	1.160E+00	1.802E-01	8.320E+00	-6.918E+01	2.998E+00
1.060E+00	1.170E+00	1.830E-01	8.395E+00	-7.044E+01	3.073E+00
1.051E+00	1.180E+00	1.859E-01	8.470E+00	-7.171E+01	3.149E+00
1.042E+00	1.190E+00	1.888E-01	8.546E+00	-7.299E+01	3.227E+00
1.033E+00	1.200E+00	1.917E-01	8.621E+00	-7.428E+01	3.306E+00
1.025E+00	1.210E+00	1.947E-01	8.696E+00	-7.558E+01	3.386E+00
1.016E+00	1.220E+00	1.977E-01	8.771E+00	-7.689E+01	3.468E+00
1.008E+00	1.230E+00	2.007E-01	8.846E+00	-7.822E+01	3.551E+00
1.000E+00	1.240E+00	2.038E-01	8.921E+00	-7.955E+01	3.636E+00
9.920E-01	1.250E+00	2.068E-01	8.997E+00	-8.089E+01	3.722E+00
9.841E-01	1.260E+00	2.099E-01	9.072E+00	-8.225E+01	3.809E+00
9.777E-01	1.268E+00	2.125E-01	9.134E+00	-8.339E+01	3.883E+00
9.764E-01	1.270E+00	2.131E-01	9.147E+00	-8.361E+01	3.898E+00
9.700E-01	1.278E+00	2.157E-01	9.209E+00	-8.476E+01	3.973E+00
9.688E-01	1.280E+00	2.162E-01	9.222E+00	-8.499E+01	3.988E+00
9.624E-01	1.288E+00	2.189E-01	9.285E+00	-8.617E+01	4.065E+00
9.612E-01	1.290E+00	2.194E-01	9.297E+00	-8.638E+01	4.079E+00
9.547E-01	1.299E+00	2.222E-01	9.363E+00	-8.761E+01	4.161E+00
9.539E-01	1.300E+00	2.226E-01	9.372E+00	-8.778E+01	4.172E+00
9.471E-01	1.309E+00	2.256E-01	9.441E+00	-8.909E+01	4.261E+00
9.466E-01	1.310E+00	2.259E-01	9.447E+00	-8.919E+01	4.267E+00
9.394E-01	1.320E+00	2.291E-01	9.521E+00	-9.060E+01	4.363E+00
9.394E-01	1.320E+00	2.291E-01	9.521E+00	-9.060E+01	4.363E+00
9.337E-01	1.328E+00	2.318E-01	9.582E+00	-9.176E+01	4.442E+00
9.323E-01	1.330E+00	2.324E-01	9.596E+00	-9.203E+01	4.460E+00
9.260E-01	1.339E+00	2.354E-01	9.664E+00	-9.334E+01	4.550E+00
9.254E-01	1.340E+00	2.357E-01	9.671E+00	-9.347E+01	4.559E+00
9.203E-01	1.347E+00	2.382E-01	9.727E+00	-9.455E+01	4.634E+00
9.185E-01	1.350E+00	2.391E-01	9.746E+00	-9.493E+01	4.660E+00
9.126E-01	1.359E+00	2.420E-01	9.811E+00	-9.620E+01	4.748E+00
9.069E-01	1.367E+00	2.449E-01	9.876E+00	-9.747E+01	4.837E+00
8.992E-01	1.379E+00	2.489E-01	9.963E+00	-9.919E+01	4.959E+00
8.935E-01	1.388E+00	2.519E-01	1.003E+01	-1.005E+02	5.053E+00
8.858E-01	1.400E+00	2.561E-01	1.012E+01	-1.023E+02	5.182E+00
8.801E-01	1.409E+00	2.593E-01	1.019E+01	-1.037E+02	5.282E+00
8.744E-01	1.418E+00	2.626E-01	1.026E+01	-1.051E+02	5.385E+00
8.686E-01	1.427E+00	2.659E-01	1.033E+01	-1.065E+02	5.490E+00
8.671E-01	1.430E+00	2.667E-01	1.034E+01	-1.069E+02	5.518E+00
8.629E-01	1.437E+00	2.693E-01	1.040E+01	-1.080E+02	5.599E+00
8.611E-01	1.440E+00	2.703E-01	1.042E+01	-1.085E+02	5.632E+00
8.552E-01	1.450E+00	2.739E-01	1.049E+01	-1.100E+02	5.748E+00
8.552E-01	1.450E+00	2.739E-01	1.049E+01	-1.100E+02	5.749E+00
8.495E-01	1.460E+00	2.775E-01	1.057E+01	-1.115E+02	5.863E+00
8.493E-01	1.460E+00	2.776E-01	1.057E+01	-1.116E+02	5.866E+00
8.437E-01	1.469E+00	2.811E-01	1.064E+01	-1.131E+02	5.981E+00
8.435E-01	1.470E+00	2.812E-01	1.064E+01	-1.132E+02	5.985E+00
8.380E-01	1.480E+00	2.848E-01	1.071E+01	-1.147E+02	6.102E+00
8.378E-01	1.480E+00	2.849E-01	1.072E+01	-1.148E+02	6.106E+00
8.323E-01	1.490E+00	2.886E-01	1.079E+01	-1.163E+02	6.228E+00
8.322E-01	1.490E+00	2.886E-01	1.079E+01	-1.164E+02	6.229E+00
8.284E-01	1.497E+00	2.912E-01	1.084E+01	-1.175E+02	6.313E+00
8.267E-01	1.500E+00	2.924E-01	1.087E+01	-1.180E+02	6.353E+00
8.227E-01	1.507E+00	2.951E-01	1.092E+01	-1.191E+02	6.444E+00
8.212E-01	1.510E+00	2.961E-01	1.094E+01	-1.196E+02	6.479E+00
8.170E-01	1.518E+00	2.991E-01	1.100E+01	-1.209E+02	6.578E+00
8.158E-01	1.520E+00	2.999E-01	1.101E+01	-1.212E+02	6.606E+00
8.112E-01	1.528E+00	3.032E-01	1.108E+01	-1.226E+02	6.717E+00
8.105E-01	1.530E+00	3.037E-01	1.109E+01	-1.229E+02	6.736E+00
